original_sentence,error_sentence,count,label_errors
trăn non cũng thường dễ bị căng thẳng khi bị nhốt trong bồn quá lớn do không có không gian hẹp để trốn vì vậy nên nuôi trăn non trong những cái bồn nhỏ chừng này ,trăn non cũng thường dễ bị căng thẳng khi bị nhốt trong bồn quá lớn do không có không gian hẹp để trốn vì vậy nên nuôi trăn non trong những cái bồn nhỏ chừng hay ,37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
vào năm numberic ông thân chinh điều động binh mã phạt vương quốc dacia để chống nhau với vua decebalus đánh tan nát quân dacia trong trận đánh khốc liệt tại tapae lần thứ hai vào năm numberic và hoàn toàn chinh phục nước dacia vào năm numberic ,vào năm numberic ông thân chinh điều động binh mã phạt vương quốc dacia để chống nhau với vua decebalus đánh tan nát quân dacia trong trận đánh khốc liệt taị tapae lần thứ hai vào năm numberic và hoàn toàn chinh phục nước dacia vào năm numberic ,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
nhân dân yêu mến hoàng đế traianus đến mức viện nguyên lão la mã phải vinh danh ông là optimus nghĩa là xuất sắc hơn cả ,nhân dân yêu mến hoàng đế traianus đến mức viện nguyên lão la mã phải vinh danh ông là optimus nghĩ là xuất sắc hơn cả ,26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
ông cùng với các nhà hiền triết về triều để góp phần dựng nước ,ông cũng vời các nhà hiền triết về triều để góp phần dựng nước ,14,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
julianus nhà hiền triết vị hoàng đế đa thần giáo cuối cùng đế quốc la mã có viết rằng khi traianus đang lên cơn hám trai thần zeus phải cẩn thận với chàng ganymedes tuyệt đẹp của thần ,julianus nhà hiền triết vị hoàng đế đa thần giáo cuối cùng đế quốc la mã có viết rằng khi traianus đang lên cơm han trai thần zeus phải cẩn thận với chàng ganymedes tuyệt đẹp của thần ,39,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
sau chiến thắng hoàng đế traianus cũng lệnh cho gây dựng một thành phố mới là colonia ulpia traiana augusta dacica sarmizegetusa trên một địa điểm khác so với cố đô của người dacia mặc dù có cùng tên gọi đầy đủ là sarmizegetusa ,sau chiến thắng hoàng đế traianus cũng lệnh cho gầy dựng một thành phố mới là colonia ulpia traiana augusta dacica sarmizegetusa trên một địa điểm khác so với cố đô của người dacia mặc dù có cùng tên gọi đầy đủ là sarmizegetusa ,44,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
với chiến thắng của ông mở ra gần numberic năm đô hộ của người la mã ở vùng românia ,với chiến thắng của ông mở ra gần numberic năm đô hộ của người la mã ờ vùng românia ,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
theo cassius dio sở dĩ có chuyện ấy là do traianus không có con đồng thời lúc ông phải lăn xả ngoài sa trường thì hoàng hậu yêu hadrianus ,theo cassius dio sở dĩ có chuyện ấy là do traianus không có con đồng thời lúc ông phải lăn xả ngoài xa trường thì hoàng hậu yêu hadrianus ,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
ông là vị hoàng đế có tài dụng binh như thần không bao giờ ngừng nghỉ chiến đấu và có lòng vô cùng dũng cảm theo lối triết học khắc kỷ ,ông là vị hoàng đế có tài dụng binh như thần không bao giờ ngưng nghỉ chiến đấu và có lòng vô cùng dũng cảm theo lối triết học khắc kỷ ,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
những công trình đồ sộ mà ông bỏ công gây dựng sẽ còn làm ấn tượng hậu thế ,những công trình đồ sộ mà ông bỏ công gầy dựng sẽ còn làm ấn tượng hậu thế ,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
từ ngày numberic tháng numberic năm numberic chính phủ của trochu bắt đầu đàm phán với phổ tại cung điện versailles ,từ ngày numberic tháng numberic năm numberic chính phủ của trochu bắt đầu đàm phán với phổ lại cung điện versailles ,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
đến ngày date chính phủ pháp ký hiệp định đình chiến chấp nhận các điều kiện của phía phổ ,đến ngày date chính phủ pháp ký hiệp định đình chiến chấp nhận các điều hiện của phía phổ ,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
đúng như dự định quốc hội mới được thành lập vào đầu tháng numberic với numberic nghị viên ,đúng như dự đinh quốc hội mới được thành lập vào đầu tháng numberic với numberic nghị viên ,18,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
trong cuộc chiến nhiều binh lính quân chính phủ đã nghiêng về phía quân vệ quốc viên tướng chỉ huy bị bắn chết tại chỗ ,trong cuộc chiến nhiều binh lính quân chính phủ đã nghiên về phía quân vệ quốc viên tướng chỉ huy bị bắn chết tại chỗ ,25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
công xã paris thất bại có nhiều nguyên nhân cả khách quan và chủ quan ,công xã paris thất bại có nhiều nguyên nhân các khách quan và chủ quan ,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
ông được giáo dục về luật và triết học và phục vụ như là factotum cho hai gia đình quý tộc lớn người đức leibniz đã đóng một vai trò quan trọng trong chính trị của châu âu và các vấn đề ngoại giao trong thời đại của ông ,ônh được giáo dục về luật và triết học và phục vụ như là factotum cho hai gia đình quý tộc lớn người đức leibniz đã đóng một vai trò quan trọng trong chính trị của châu âu và các vấn đề ngoại giao trong thời đại của ông ,49,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
sau đó ông từ chối một vị trí giảng dạy tại altdorf và trải quãng đời còn lại phục vụ cho hai gia đình quý tộc lớn ở đức ,sau đó ông từ chối một ví trí giảng dạy tại altdorf và trải quãng đời còn lại phục vụ cho hai gia đình quý tộc lớn ở đức ,29,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
đặc biệt là leibniz đã làm quen với nhà vật lý và toán học người hà lan là christiaan huygens lúc đó khá nổi ở paris ,đặc biệt là leibniz đã làm quen với nhà vật lý và toán học người hà lan là christiaan huygens lúc đó khả nổi ở paris ,26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
thư viện được lưu trữ tốt ở địa điểm frenchay được gọi là thư viện bolland đặt tên theo tiến sĩ robert bolland giám đốc thứ nhất của trường bách khoa bristol từ năm numberic đến năm numberic ,thư viện được lưu trữ tốt ở địa điểm frenchay được gọi là thư viện bolland đặt tên theo tiến sỹ robert bolland giám đốc thứ nhất của trường bách khoa bristol từ năm numberic đến năm numberic ,38,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
hai trong các quốc gia này vẫn còn sử dụng lời hứa thay thế hà lan và cộng hòa séc mà các quốc gia kia đã bỏ hẳn ,hai trong các quốc gia này vẫn còn xử dụng lời hứa thay thế hà lan và cộng hòa séc mà các quốc gia kia đã bỏ hẳn ,28,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ngoài ra huyện cũng đang hình thành khu công nghiệp tân thành b ưu tiên cho sản xuất thức ăn gia súc và sản xuất công nghiệp ,ngoài ra huyện cũng đang hình thành khu công nghiệp tân thành b ưu tiên cho sản xuất thức ăn gia súc và sản xúât công nghiệp ,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
rastignas là một sinh viên nghèo ngán ngẩm cuộc sống nghèo khổ mong muốn được gia nhập vào xã hội của giới thượng lưu ,rastignas là một sinh viên nghèo ngán ngẫm cuộc sống nghèo khổ mong muốn được gia nhập vào xã hội của giới thượng lưu ,24,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
đúng thời gian đó hết cô chị rồi lại cô em đến vòi vĩnh lão đủ thứ kể lể than khóc với lão về chuyện lục đục trong gia đình họ ,đúng thời gian đó hết cô chị rồi lại cô em đến vòi vĩnh lão đủ thứ kể lễ than khóc với lão về chuyện lục đục trong gia đình họ ,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
công việc thiết kế bắt đầu những năm numberic khi viện nghiên cứu specialw được ra lệnh chế tạo một loại vũ khí có thể chống lại tàu ngầm nguyên tử ,công việc thiết kế bắt đầu những năm numberic khi viện nghiên cứu specialw được ra lệnh chế tạo một loại vũ khí có thể chống lại tầu ngầm nguyên tử ,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
ngày date hệ thống chống tàu ngầm dùng ngư lôi shkval specialw được chấp nhận sử dụng trong hải quân ,ngày date hệ thống chống tầu ngầm dùng ngư lôi shkval specialw được chấp nhận sử dụng trong hải quân ,20,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
shkval được thiết kế để chống ngư lôi phóng từ tàu ngầm hạt nhân đối phương còn chưa bị phát hiện diệt các mục tiêu chạy nhanh đang tới gần ,shkval được thiết kế để chống ngư lôi phóng từ tầu ngầm hạt nhân đối phương còn chưa bị phát hiện diệt các mục tiêu chạy nhanh đang tới gần ,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
shkval cho phép những tàu ngầm tàu chiến ồn ào tự vệ và diệt đối phương khi đối đầu với những tàu ngầm hiện đại chạy êm ,shkval cho phép những tầu ngầm tầu chiến ồn ào tự vệ và diệt đối phương khi đối đầu với những tầu ngầm hiện đại chạy êm ,27,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
tốc độ cao của shkval đạt được nhờ ứng dụng hiện tượng siêu khoang ngư lôi chuyển động trong một bong bóng khí khổng lồ làm giảm đáng kể lực ma sát và cho phép ngư lôi chuyển động ở tốc độ cực cao ,tốc độ cao của shkval đạt được nhờ ứng dụng hiện tượng siêu khoang ngư lôi chuyển động trong một bong bóng khí khổng lồ làm giảm đáng kể lực ma sát và cho phép ngư lôi chuyển động ở tốc độc cực cao ,45,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
các phiên bản tầm xa là specialw và specialw được trang bị động cơ specialw trent numberic ,các phiên bản tầm xa là specialw và specialw đựoc trang bị động cơ specialw trent numberic ,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
specialw có thể đạt tầm bay numberic km numberic km với động cơ trent numberic ,specialw có thể đạt tầm bay numberic km numberic nm với động cơ trent numberic ,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
chiếc specialw có khả năng bay không nghỉ từ london đến perth úc mặc dù chuyến bay về cần đỗ lại lấy nhiên liệu do gió chặn đầu ,chiếc specialw có khả năng bay không nghỉ từ london đến perth úc mặc dù chuyến bay về cần đổ lại lấy nhiên liệu do gió chặn đầu ,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
hãng emirates airline đã trở thành khách hàng đầu tiên của 600hgw khi họ ký hợp đồng mua numberic chiếc tại triển lãm hàng không paris numberic nhưng họ đã hoãn lại đơn đặt hàng vô thời hạn và sau đó hủy bỏ hợp đồng ,hãng emirates airline đã trở thành khách hàng đầu tiên của 600hgw khi họ kỹ hợp đồng mua numberic chiếc tại triển lãm hàng không paris numberic nhưng họ đã hoãn lại đơn đặt hàng vô thời hạn và sau đó hủy bỏ hợp đồng ,45,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
đối thủ trực tiếp của specialw từ boeing là loại date ,đối thử trực tiếp của specialw từ boeing là loại date ,11,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
kai và lockheed martin hiện thời đang theo đuổi một chương trình tiếp thị chung cho các phiên bản của specialw trên toàn cầu ,kai và lockheed martin hiện thời đang theo đổi một chương trình tiếp thị chung cho các phiên bản của specialw trên toàn cầu ,24,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
giá thành của một chiếc specialw golden eagle dao động từ numberic đến numberic triệu usd specialw không đơn thuần là một chiếc máy bay huấn luyện mà nó còn được đánh giá như một chiến đấu cơ đích thực ,giá thành của một chiếc specialw golden eagle dao động từ numberic đến numberic triệu usd specialw không đơn thuần là một chuếc máy bay huấn luyện mà nó còn được đánh giá như một chiến đấu cơ đích thực ,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
loại chiến đấu cơ này đạt tốc độ tối đa lên đến gấp rưỡi vận tốc âm thanh khoảng numberic specialw và có tầm bay đến numberic km ,loại chiến đấu cơ này đạt tốc độ tới đa lên đến gấp rưỡi vận tốc âm thanh khoảng numberic specialw và có tầm bay đến numberic km ,28,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
các tên khác nitrôglyxêrin nitroglycerin ng trinitroglycerin nitroglycerol nitrostat minitran glyceryl trinitrate trinitroglycerol nitroglycerine nitroplast epinitril nitrolycerin là một chất lỏng không màu nhớt tạo thành từ phản ứng nitơrát hóa glyxêrin rất dễ nổ ,các tên khác nitrôglyxêrin nitroglycerin ng trinitroglycerin nitroglycerol nitrostat minitran glyceryl trinitrate trinitroglycerol nitroglycerine nitroplast epinitril nitrolycerin là một chất lỏng không mầu nhớt tạo thành từ phản ứng nitơrát hóa glyxêrin rất dễ nổ ,35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
nó cũng được dùng trong ngành dược làm thuốc giãn mạch hạ huyết áp ,nó cũng được dùng trong ngành dược làm thuốc dãn mạch hạ huyết áp ,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
điểm này gợi ý cho người ta tìm cách đặt nitrôglyxêrin vào trạng thái ổn định bằng cách trộn thêm date ethanol acetone hoặc dinitrotoluene ổn định như các chất nổ mạnh hiện đại ,điểm này gợi ý cho người ta tìm cách đặt nitrôglyxêrin vào trạng thái ổn định bằng cách trộn thêm date ethanol acetone hoặc dinitrotoluene ổn định như các chất nổ mạnh hiện dại ,34,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
việc làm giả nhậy yêu cầu các chất phải rất sạch nếu không chất nổ khó điểm hỏa khó khăn khi ứng dụng thực tế ,việc làm giản nhậy yêu cầu các chất phải rất sạch nếu không chất nổ khó điểm hỏa khó khăn khi ứng dụng thực tế ,25,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
nitrôglyxêrin có thể đốt cháy như nhiên liệu nhưng nguy hiểm ,nitrôglyxêrin có thể dốt cháy như nhiên liệu nhưng nguy hiểm ,11,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
đầu tiên trộn hai axít trước rồi làm lạnh đến 10 c đặt hỗn hợp trong cốc nước đá đang tan rồi trộn glycerin từ từ vào ,đầu tiên trộn hai axít trước rồi làm lạnh đến 10 c đặt hỗn hợp trong có nước đá đang tan rồi trộn glycerin từ từ vào ,26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
một cách nữa để điều chế nitrôglyxêrin là trộn nó với axít sunfuric trước hỗn hợp nóng lên và được làm lạnh trước đến đây thì có thể đổ nhanh axít nitrich vào ,một cách nữa để điều chế nitrôglyxêrin là trộn nó với axít sunfuric trước hỗn hợp nóng lên và dược làm lạnh trước đến đây thì có thể đổ nhanh axít nitrich vào ,33,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
cũng có thể trộn thêm glycerin thật chậm vào ,cũng có thẻ trộn thêm glycerin thật chậm vào ,9,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
glycerin thêm vào hỗn hợp trong một lò phản ứng hóa học được thiết kế chuyên dùng có choc phản ứng nitrat hóa ,glycerin thêm vào hỗn hợp trong một lò phản ứng hóa học được thiết kế chuyên dùng có các phản ứng nitrat hóa ,23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
glycerin trộn vào chậm hơn lò phản ứng được làm mát nước hoặc một số lò bằng glycerin 22 c còn lại thấp hơn nhiều nhiệt độ mà phản ứng este hóa xảy ra quá chậm so với cần thiết ,glycerin trộn vào chậm hơn lò phả ứng được làm mát nước hoặc một số lò bằng glycerin 22 c còn lại thấp hơn nhiều nhiệt độ mà phản ứng este hóa xảy ra quá chậm so với cần thiết ,39,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
buồng nitrat hóa thường làm bằng sắt hay chì chịu áp cao và nhiệt ,buồng nitrat hóa thường làm bằng sắt hay chì chịu áp ao và nhiệt ,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
đáy buồng nitrat hóa có một cửa an toàn ống nối đi qua một bể lớn chứa nước rất lạnh hỗn hợp phản ứng còn gọi là liều nạp như thuốc nổ cho vào súng đi qua đây ngăn ngừa nổ giảm tốc độ phản ứng ,đáy buồng nitrat hóa có một cửa an toàn ống nối đi qua một bể lớn chưa nước rất lạnh hỗn hợp phản ứng còn gọi là liều nạp như thuốc nổ cho vào súng đi qua đây ngăn ngừa nổ giảm tốc độ phản ứng ,46,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
